                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.04633,                0.93322,                      1,                0.98136,             0.00023465,             0.00023465,             0.00023465
                      2,                0.04785,                0.91213,                      1,                 0.9948,             0.00044925,             0.00044925,             0.00044925
                      3,                0.04622,                0.88401,                      1,                 1.0216,             0.00064029,             0.00064029,             0.00064029
                      4,                0.08608,                0.90861,                      1,                 1.0017,             0.00060797,             0.00060797,             0.00060797
                      5,                0.05631,                0.91564,                      1,                 0.9983,             0.00057263,             0.00057263,             0.00057263
                      6,                 0.0679,                0.90861,                      1,                  1.002,             0.00053728,             0.00053728,             0.00053728
                      7,                0.04893,                0.91388,                      1,                0.99355,             0.00050194,             0.00050194,             0.00050194
                      8,                0.03529,                0.92443,                      1,                0.98695,              0.0004666,              0.0004666,              0.0004666
                      9,                0.02788,                0.91916,                      1,                0.98571,             0.00043126,             0.00043126,             0.00043126
                     10,                0.03099,                 0.9174,                      1,                0.98957,             0.00039591,             0.00039591,             0.00039591
                     11,                0.07093,                0.91564,                      1,                 0.9884,             0.00036057,             0.00036057,             0.00036057
                     12,                0.06518,                 0.9174,                      1,                 0.9895,             0.00032523,             0.00032523,             0.00032523
                     13,                0.05971,                 0.9174,                      1,                0.98984,             0.00028988,             0.00028988,             0.00028988
                     14,                0.05043,                0.90861,                      1,                0.99699,             0.00025454,             0.00025454,             0.00025454
                     15,                0.03623,                0.91916,                      1,                0.98607,              0.0002192,              0.0002192,              0.0002192
                     16,                0.03236,                0.92267,                      1,                0.98628,             0.00018385,             0.00018385,             0.00018385
                     17,                0.03111,                0.91916,                      1,                0.98797,             0.00014851,             0.00014851,             0.00014851
                     18,                  0.034,                0.92267,                      1,                0.98581,             0.00011317,             0.00011317,             0.00011317
                     19,                0.03957,                0.92619,                      1,                0.98163,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.03054,                0.92267,                      1,                 0.9806,             4.2483e-05,             4.2483e-05,             4.2483e-05
